ID,desired,softmax,DiffShort,DiffLong,DiffAll,DirShort,DirLong,DirAll,feCheater00,feBiasP01,feBiasN02,feBiasZ03,feRepeatL04,fe3DiffMean05,feRandom06,X00_00,X01_01,X02_02,X03_03,X04_04,X05_05,X06_06,X07_04,X08_06,X09_05,X10_06,X11_04,X12_05,N00,N01,N02,N03,N04,Y00_00,Y01_01,Y02_02,Y03_03,Y04_04,reserve
666,-0.11309273,0.05770471,-0.01156905,-0.00653619,-0.00320713,0.02836636,-0.01775664,-0.04493779,-0.11309273,0.5,-0.5,0,0.49870482,0.97676855,0.83312988,0.001,0.39053768,0.04852763,0.001,0.0109968,0.0209937,0.19623369,0.0109968,0.19623369,0.0209937,0.19623369,0.0109968,0.0209937,0.43929824,0.20763624,0.22669965,0.0069646,0.02602801,0.0109968,0.11799567,0.0684051,0.0109968,0.0209937,0
665,0.1496236,0.0698121,-0.00747263,-0.00629985,-0.003201,0.08909346,-0.01378103,-0.04482574,0.1496236,0.5,-0.5,0,-0.11309273,0.85096025,0.80151367,0.001,0.4004986,0.03852277,0.001,0.001,0.0309916,0.20621407,0.001,0.20621407,0.0309916,0.20621407,0.001,0.0309916,0.45349234,0.20258558,0.23619142,-0.00014363,0.03346222,0.0209957,0.12798387,0.07839826,0.001,0.0309916,0
664,-0.28414246,-0.02735635,-0.00573364,-0.00619572,-0.00319846,0.14602512,-0.00982094,-0.0447137,-0.28414246,0.5,-0.5,0,0.1496236,0.5352357,-0.39587402,0.001,0.39045855,0.04851892,0.001,0.001,0.0209885,0.21619345,0.001,0.21619345,0.0209885,0.21619345,0.001,0.0209885,0.11240032,-0.10746013,-0.09338564,0.00019002,0.01426452,0.0109936,0.13797107,0.08839042,0.001,0.0209885,0
663,-0.10073301,-7.468e-5,-0.00561866,-0.00618672,-0.00319854,0.07439855,-0.01368883,-0.04481613,-0.10073301,0.5,-0.5,0,-0.28414246,-0.24761158,0.02539063,0.001,0.38041952,0.05851407,0.001,0.011,0.0309864,0.20617183,0.011,0.20617183,0.0309864,0.20617183,0.011,0.0309864,0.18665214,0.00267857,-0.00309543,-0.00396942,-0.00974343,0.001,0.12795727,0.07838158,0.011,0.0309864,0
662,0.02526975,0.02257154,-0.00380963,-0.00607145,-0.00319568,0.13224864,-0.00972911,-0.04470412,0.02526975,0.5,-0.5,0,-0.10073301,-0.23525187,0.41772461,0.001,0.37038147,0.06850822,0.001,0.0209989,0.0409833,0.1961512,0.0209989,0.1961512,0.0409833,0.1961512,0.0209989,0.0409833,0.27002341,0.10045704,0.09090038,-0.00268639,-0.01224306,0.001,0.11794447,0.06837374,0.0209989,0.0409833,0
661,0.32418197,0.0592469,-0.00070411,-0.00586849,-0.00319042,0.1864831,-0.00578485,-0.04459213,0.32418197,0.5,-0.5,0,0.02526975,-0.35960573,0.8416748,0.001,0.38034442,0.05850136,0.001,0.0309968,0.0309792,0.20613158,0.0309968,0.20613158,0.0309792,0.20613158,0.0309968,0.0309792,0.39261729,0.21307978,0.19793917,0.00099477,-0.01414584,0.011,0.12793268,0.0783669,0.0309968,0.0309792,0
660,-0.83885169,0.00602232,-0.00136119,-0.00588936,-0.00319128,0.1123279,-0.00966851,-0.04469454,-0.83885169,0.5,-0.5,0,0.32418197,0.24871871,0.059021,0.001,0.3703064,0.06849551,0.001,0.0209937,0.0209761,0.19611095,0.0209937,0.19611095,0.0209761,0.19611095,0.0209937,0.0209761,0.21174107,0.02334,0.02132274,0.0086428,0.00662554,0.001,0.11791988,0.06835906,0.0209937,0.0209761,0
659,0.37052193,0.00403789,-0.00137007,-0.00587219,-0.0031911,0.04280741,-0.01353699,-0.04479691,0.37052193,0.5,-0.5,0,-0.83885169,-0.48939997,0.06304932,0.001,0.38026935,0.05848867,0.001,0.0109916,0.010974,0.20609134,0.0109916,0.20609134,0.010974,0.20609134,0.0109916,0.010974,0.19161934,0.00479008,0.00967806,-0.01170848,-0.0068205,0.011,0.10790809,0.07835222,0.0109916,0.010974,0
658,0.25241557,0.06204906,0.00175479,-0.00565928,-0.00318555,0.10263194,-0.00957786,-0.04468495,0.25241557,0.5,-0.5,0,0.37052193,-0.14414778,0.71087646,0.001,0.39023131,0.04848282,0.001,0.0209905,0.001,0.21607074,0.0209905,0.21607074,0.001,0.21607074,0.0209905,0.001,0.40444779,0.19913729,0.18907768,0.00987655,-0.00018307,0.0209989,0.11789729,0.08834438,0.0209905,0.001,0
657,0.40456069,0.09129991,0.00633293,-0.00534421,-0.00317718,0.15871745,-0.0056342,-0.04457302,0.40456069,0.5,-0.5,0,0.25241557,-0.21591419,0.90405273,0.001,0.40019226,0.03847797,0.001,0.0309884,0.001,0.22604914,0.0309884,0.22604914,0.001,0.22604914,0.0309884,0.001,0.47334513,0.25631404,0.24610676,0.00993307,-0.00027421,0.0309968,0.12788551,0.09833554,0.0309884,0.001,0
656,-0.86433285,0.05177315,0.00190318,-0.00557548,-0.00318377,0.08629762,-0.00951844,-0.04467538,-0.86433285,0.5,-0.5,0,0.40456069,1.02749813,0.565979,0.001,0.39015225,0.04847413,0.001,0.0209853,0.001,0.21602653,0.0209853,0.21602653,0.001,0.21602653,0.0209853,0.001,0.36983138,0.16307096,0.15359484,0.01078105,0.00130492,0.0209937,0.11787272,0.08832571,0.0209853,0.001,0
655,-0.70557433,-0.0135582,0.00222221,-0.00552624,-0.00318267,0.14340401,-0.00557501,-0.04456347,-0.70557433,0.5,-0.5,0,-0.86433285,-0.2073566,-0.0982666,0.001,0.38011324,0.05846928,0.001,0.0309832,0.011,0.22600493,0.0309832,0.22600493,0.011,0.22600493,0.0309832,0.011,0.1285142,-0.06216444,-0.03108332,-0.03397788,-0.00289675,0.0109916,0.12786093,0.09831687,0.0309832,0.011,0
654,-0.59483773,0.04349423,-0.0016641,-0.00573885,-0.00318876,0.07194126,-0.00945948,-0.04466581,-0.59483773,0.5,-0.5,0,-0.70557433,-1.1653465,0.79217529,0.001,0.37007523,0.06846343,0.001,0.0409801,0.0209989,0.21598232,0.0409801,0.21598232,0.0209989,0.21598232,0.0409801,0.0209989,0.32329342,0.17268008,0.17830727,-0.03668057,-0.03105338,0.001,0.11784815,0.08830704,0.0409801,0.0209989,0
653,0.71987778,0.06243974,0.0011937,-0.0055443,-0.00318369,0.12994492,-0.00551628,-0.04455392,0.71987778,0.5,-0.5,0,-0.59483773,-2.16474485,0.84075928,0.001,0.3800382,0.05845658,0.001,0.030976,0.0109968,0.22596072,0.030976,0.22596072,0.0109968,0.22596072,0.030976,0.0109968,0.37051645,0.20718451,0.20036469,-0.02339005,-0.03020987,0.011,0.12783636,0.09829821,0.030976,0.0109968,0
652,-0.59033167,-0.06231456,0.00432628,-0.00532216,-0.00317785,0.18432337,-0.00158848,-0.04444207,-0.59033167,0.5,-0.5,0,0.71987778,-0.58053428,-0.70410156,0.001,0.37000021,0.06845074,0.001,0.02097291,0.0209957,0.23593812,0.02097291,0.23593812,0.0209957,0.23593812,0.02097291,0.0209957,-0.01836681,-0.18452305,-0.2191682,0.01916855,-0.01547661,0.001,0.13782358,0.10828837,0.02097291,0.0209957,0
651,0.62793028,0.08775815,0.00846833,-0.00502557,-0.00316996,0.23530316,0.00232397,-0.04433023,0.62793028,0.5,-0.5,0,-0.59033167,-0.46529162,0.84594727,0.001,0.37996319,0.0584439,0.001,0.01097081,0.0109936,0.24591452,0.01097081,0.24591452,0.0109936,0.24591452,0.01097081,0.0109936,0.42915231,0.24214022,0.24386869,-0.00822459,-0.00649612,0.011,0.1478098,0.11827753,0.01097081,0.0109936,0
650,-0.81272978,0.02814331,0.00551623,-0.00515741,-0.00317378,0.15809672,-0.00159135,-0.04443255,-0.81272978,0.5,-0.5,0,0.62793028,0.75747639,0.29595947,0.001,0.3699252,0.06843805,0.001,0.001,0.001,0.2358899,0.001,0.2358899,0.001,0.2358899,0.001,0.001,0.27145246,0.08889151,0.08905604,0.00079747,0.00096199,0.001,0.13779502,0.10826571,0.001,0.001,0
649,-0.34321287,0.00540063,0.00455803,-0.00517559,-0.00317448,0.08571567,-0.00549139,-0.04453485,-0.34321287,0.5,-0.5,0,-0.81272978,-0.77513117,0.10546875,0.001,0.35988823,0.0784312,0.001,0.011,0.011,0.2258663,0.011,0.2258663,0.011,0.2258663,0.011,0.011,0.1777136,0.01887825,0.01940334,-0.01135262,-0.01082753,0.001,0.12778123,0.09825489,0.011,0.011,0
648,-0.59033167,-0.02101521,0.00531459,-0.0050903,-0.00317236,0.14285845,-0.00156369,-0.04442304,-0.59033167,0.5,-0.5,0,-0.34321287,-0.52801239,-0.18170166,0.001,0.34985223,0.08842336,0.001,0.0209989,0.0209989,0.23584372,0.0209989,0.23584372,0.0209989,0.23584372,0.0209989,0.0209989,0.08017943,-0.06344326,-0.06836993,-0.00915237,-0.01407904,0.001,0.13776845,0.10824506,0.0209989,0.0209989,0
647,-0.18503462,-0.08196992,0.00910687,-0.00481266,-0.00316497,0.19642979,0.00234867,-0.04431125,-0.18503462,0.5,-0.5,0,-0.59033167,-1.74627423,-0.6048584,0.001,0.33981726,0.09841451,0.001,0.0309968,0.0309968,0.24582013,0.0309968,0.24582013,0.0309968,0.24582013,0.0309968,0.0309968,-0.12953171,-0.20677198,-0.25202042,-0.02322859,-0.06847703,0.011,0.14775467,0.11823423,0.0309968,0.0309968,0
